id,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
853840.0,853840.0,2361433,39.47234,-0.3775,4.0,1.0,1.0,2.0,110.0,2.0,242.2,2.0,7.0,1125,1125,3.0,1125.0,12,20,31,88,107.0,2.0,0.0,0.85,4.72,4.67,4.76,4.88,4.92,4.95,4.64,2.0,2.0,0.0,0.0
864794.0,864794.0,3964897,39.4715,-0.37196,2.0,1.0,1.0,3.0,48.0,2.0,30.0,1.0,2.0,30,30,2.0,30.0,2,10,11,203,82.0,31.0,1.0,2.57,4.37,4.52,4.29,4.66,4.6,4.9,4.38,1.0,1.0,0.0,0.0
880307.0,880307.0,4655487,39.45987,-0.38732,2.0,1.0,2.0,4.0,50.0,3.2,242.2,1.9,21.0,1125,1125,4.0,1125.0,0,1,5,101,23.3,9.0,1.0,0.87,4.85,4.85,4.87,4.94,4.87,4.58,4.78,1.0,1.0,0.0,0.0
896304.0,896304.0,2570450,39.5,-0.4,4.0,1.0,2.0,3.0,101.4,2.0,90.0,2.0,2.0,90,90,2.0,90.0,0,0,9,99,23.3,9.0,0.0,1.64,4.69,4.82,4.6,4.77,4.71,4.58,4.61,1.0,1.0,0.0,0.0
923390.0,923390.0,4966350,39.46951,-0.37527,4.0,1.0,2.0,3.0,183.0,3.0,364.0,1.0,3.0,364,364,3.0,364.0,7,14,35,265,23.3,10.1,3.0,2.46,4.63,4.74,4.7,4.73,4.62,4.89,4.59,8.0,8.0,0.0,0.0
927457.0,927457.0,4356813,39.46949,-0.37353,3.0,1.0,1.0,2.0,76.0,3.0,242.2,3.0,3.0,1120,1120,3.0,1120.0,2,7,10,29,23.3,26.0,1.0,2.88,4.9,4.93,4.89,4.98,4.96,4.95,4.88,1.0,1.0,0.0,0.0
938734.0,938734.0,4708020,39.46894,-0.37549,2.0,1.0,1.0,1.0,98.0,1.0,60.0,1.0,1.0,60,60,1.0,60.0,9,10,17,281,47.0,18.0,2.0,0.32,4.26,4.41,4.61,4.67,4.79,4.77,4.3,8.0,8.0,0.0,0.0
959190.0,959190.0,5220094,39.5,-0.32109,6.0,1.0,3.0,4.0,131.0,7.0,45.0,7.0,10.0,45,45,7.3,45.0,0,0,28,72,13.0,7.0,1.0,0.09,4.92,4.77,4.62,4.77,5.0,4.77,4.46,1.0,1.0,0.0,0.0
960147.0,960147.0,4678441,39.47753,-0.37966,2.0,1.0,1.0,1.0,101.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,12,40,57,299,23.3,25.0,1.0,2.08,4.93,4.95,4.95,4.95,4.98,4.95,4.87,1.0,1.0,0.0,0.0
969359.0,969359.0,5128253,39.44833,-0.33492,4.0,1.0,3.0,3.0,84.0,2.0,180.0,1.0,2.0,1125,1125,2.0,1125.0,8,20,41,41,23.3,30.0,2.0,2.25,4.64,4.75,4.78,4.86,4.94,4.14,4.6,2.0,2.0,0.0,0.0
